url,post_nummer,boligtype,boligstorrelse,grundstorrelse,vaerelser,etage,byggeår,om_byggeår,skatter,boligareal_tinglyst,toiletter,badevaerelser,pris
https://www.boliga.dk/bolig/1809233/gl_hovedgade_15d__3_75_2970_hoersholm,2970,Ejerlejlighed,51,0,2,3,1977, ,1145,47, , ,2395000
https://www.boliga.dk/bolig/1792507/nimbusparken_1__st_4_2000_frederiksberg,2000,Ejerlejlighed,88,0,2,0,2004, ,2146,80, , ,4850000
https://www.boliga.dk/bolig/1838208/vendersgade_10_st_tv_1363_koebenhavn_k,1363,Ejerlejlighed,105,0,4,0,1878, ,494,103, , ,4595000
https://www.boliga.dk/bolig/1809233/gl_hovedgade_15d__3_75_2970_hoersholm,2970,Ejerlejlighed,51,0,2,3,1977, ,1145,47, , ,2395000
https://www.boliga.dk/bolig/1792507/nimbusparken_1__st_4_2000_frederiksberg,2000,Ejerlejlighed,88,0,2,0,2004, ,2146,80, , ,4850000
https://www.boliga.dk/bolig/1838208/vendersgade_10_st_tv_1363_koebenhavn_k,1363,Ejerlejlighed,105,0,4,0,1878, ,494,103, , ,4595000
https://www.boliga.dk/bolig/1839635/lindebo_19_1_doerlejl_115_2630_taastrup,2630,Ejerlejlighed,42,0,1,1,1972, ,472,38, , ,1295000
https://www.boliga.dk/bolig/1839607/roskildevej_287_st_tv_2610_roedovre,2610,Ejerlejlighed,61,0,2,0,1934, ,684,77, , ,2050000
https://www.boliga.dk/bolig/1839631/hoejnaesvej_52a_1_4_2610_roedovre,2610,Ejerlejlighed,58,0,1,1,1951, ,825,77, , ,2795000
https://www.boliga.dk/bolig/1839617/judithsvej_15__1_tv_2900_hellerup,2900,Ejerlejlighed,108,0,4,1,1932, ,2371,103, , ,5995000
https://www.boliga.dk/bolig/1839632/ben_websters_vej_130_st_th_2450_koebenhavn_sv,2450,Ejerlejlighed,92,0,2,0,2006, ,1612,92, , ,5998000
https://www.boliga.dk/bolig/1839583/theklavej_41_2_39_2400_koebenhavn_nv,2400,Ejerlejlighed,66,0,2,2,1974, ,1422,60, , ,2995000
https://www.boliga.dk/bolig/1839597/ordrupvej_67b_4_tv_2920_charlottenlund,2920,Ejerlejlighed,96,0,4,4,1938, ,1376,92, , ,4395000
https://www.boliga.dk/bolig/1839348/lindebo_21__2_131_2630_taastrup,2630,Ejerlejlighed,42,0,1,2,1975, ,472,38, , ,1195000
https://www.boliga.dk/bolig/1839416/langelunden_12_1_mf_niveroed_2990_nivaa,2990,Ejerlejlighed,55,0,2,1,1971, ,478,49, , ,1245000
https://www.boliga.dk/bolig/1839341/byparkvej_8__st_mf_2600_glostrup,2600,Ejerlejlighed,43,0,1,0,1975, ,560,39, , ,1450000
https://www.boliga.dk/bolig/1839271/provstevej_2a_2_mf_2400_koebenhavn_nv,2400,Ejerlejlighed,45,0,2,2,1932, ,401,40, , ,1799000
https://www.boliga.dk/bolig/1839373/kastrupkrogen_7_4_th_2770_kastrup,2770,Ejerlejlighed,54,0,2,4,1939, ,402,53, , ,1995000
https://www.boliga.dk/bolig/1839519/vangede_bygade_78_2_tv_2820_gentofte,2820,Ejerlejlighed,55,0,2,2,1940, ,377,46, , ,1995000
https://www.boliga.dk/bolig/1839305/tranegaardsvej_58_2_th_2900_hellerup,2900,Ejerlejlighed,63,0,2,2,1919, ,1129,58, , ,2695000
https://www.boliga.dk/bolig/1839526/tranevej_10_3_tv_2400_koebenhavn_nv,2400,Ejerlejlighed,63,0,2,3,1936, ,852,58, , ,2695000
https://www.boliga.dk/bolig/1839571/roedovrevej_303_st_th_2610_roedovre,2610,Ejerlejlighed,83,0,3,0,1967, ,889,80, , ,2825000
https://www.boliga.dk/bolig/1839525/vedbendvej_2b_st_tv_2900_hellerup,2900,Ejerlejlighed,70,0,3,0,1938, ,886,71, , ,2895000
https://www.boliga.dk/bolig/1839390/willumsvej_4b_2_4_2300_koebenhavn_s,2300,Ejerlejlighed,76,0,2,2,2007, ,1448,68, , ,3145000
https://www.boliga.dk/bolig/1839273/ordrupvej_70a_3_th_2920_charlottenlund,2920,Ejerlejlighed,70,0,2,3,1936, ,875,61, , ,3250000
https://www.boliga.dk/bolig/1839265/groenningen_7_2_mf_1270_koebenhavn_k,1270,Ejerlejlighed,44,0,1,2,1939, ,604,37, , ,3495000
https://www.boliga.dk/bolig/1839418/kongevejen_139_1_tv_2830_virum,2830,Ejerlejlighed,91,0,4,1,1946, ,1684,98, , ,3495000
https://www.boliga.dk/bolig/1839490/spaniensgade_23_1_mf_2300_koebenhavn_s,2300,Ejerlejlighed,72,0,3,1, , ,982,69, , ,3795000
