url,post_nummer,boligstorrelse,grundstorrelse,bolig_type,vaerelser,etage,byggeår,om_byggeår,skatter,kaelderstorrelse,boligareal_tinglyst,toiletter,badevaerelser,pris,handelstype,carport,udhus,salgsmaned,salgsar
https://www.boliga.dk/salg/info/147/3226/0F2B05FF-636E-4DBE-9698-BF47F312F001,2000,78,0,,3,8,1944,0,1289,,68,1,1,4700000,Alm. frit salg,,,10,2021
https://www.boliga.dk/salg/info/101/695131/4B13F5D9-0356-4EEA-BE8B-75344C7DF51C,2200,54,0,,2,3,1935,0,842,,49,1,1,2145000,Alm. frit salg,,,10,2021
https://www.boliga.dk/salg/info/147/258133/CE305B5F-8D0F-4114-84AE-6A89CA9B7FFB,2000,110,0,,4,4,2007,0,2487,,102,1,1,8900000,Alm. frit salg,,,10,2021
https://www.boliga.dk/salg/info/101/729192/D6A7FA44-2D41-4FB0-BC3E-8862D2A7D8C6,1428,47,0,,2,5,1901,0,852,,38,1,1,3450000,Alm. frit salg,,,10,2021
https://www.boliga.dk/salg/info/159/182493/930EA198-1AAE-410F-A132-C05686D0961C,2860,95,0,,3,1,2006,0,1815,,84,1,1,3250000,Alm. frit salg,,,10,2021
https://www.boliga.dk/salg/info/101/609081/F4C554AB-99D0-4BCA-B1DC-79ADA949CB5A,2720,114,0,,5,2,1940,0,1435,,55,2,2,1297500,Alm. frit salg,,,10,2021
https://www.boliga.dk/salg/info/101/709124/A77F1AEA-68C6-4A71-A209-B2995B3A4B22,2100,102,0,,3,0,1931,0,1760,,92,1,1,4160000,Alm. frit salg,,,10,2021
https://www.boliga.dk/salg/info/101/819035/865B0280-838D-48B8-B687-A8424B98C035,2500,62,0,,2,1,1930,0,845,,57,1,1,2200000,Alm. frit salg,,,10,2021
https://www.boliga.dk/salg/info/101/79821/223755D2-CFA0-44ED-A1AA-4A92087A227B,2700,40,0,,2,0,1934,0,679,,35,1,1,1551000,Alm. frit salg,,,10,2021
https://www.boliga.dk/salg/info/183/45741/952AFBEA-E328-4727-9378-A72804ABC2B9,2635,97,0,,3,2,1976,0,1061,,93,1,1,2220000,Alm. frit salg,,,10,2021
https://www.boliga.dk/salg/info/101/3823/692AF86D-FCF9-4198-BF85-80E9F510D65A,1700,93,0,,3,2,1908,1982,1609,,84,1,1,597000,Alm. frit salg,,,10,2021
https://www.boliga.dk/salg/info/101/976190/F02110CB-E5AF-49F9-B837-C034159EC2D1,2450,103,0,,4,3,2006,0,1952,,94,1,1,6098000,Alm. frit salg,,,10,2021
https://www.boliga.dk/salg/info/101/182584/AC36AD4E-1F5E-4B42-9952-9C4283356955,1722,54,0,,2,1,1902,0,857,,46,1,1,3250000,Alm. frit salg,,,10,2021
https://www.boliga.dk/salg/info/101/834620/4EC816F8-2ECC-4EB5-B71B-D4272A83AFC3,2400,128,0,,3,2,1989,0,2068,,106,1,1,2112500,Alm. frit salg,,,10,2021
https://www.boliga.dk/salg/info/147/33354/EEDA7763-F395-48A9-B546-9960621E3887,1957,90,0,,4,1,1899,0,1505,,82,1,1,6000000,Alm. frit salg,,,10,2021
https://www.boliga.dk/salg/info/101/26400/44A1276C-9802-45F1-90DA-A0F38395F73B,2100,84,0,,2,1,1994,0,2320,,75,1,1,4000000,Alm. frit salg,,,10,2021
https://www.boliga.dk/salg/info/183/22911/A8D4C759-C032-48CA-AC88-D489EE7574E0,2635,97,0,,3,0,1974,0,957,,105,1,1,2060000,Alm. frit salg,,,10,2021
https://www.boliga.dk/salg/info/101/822915/D9040815-5E44-45E3-B29B-FD4B59862E7D,2500,108,0,,5,3,1906,0,1882,,95,1,1,5400000,Alm. frit salg,,,10,2021
https://www.boliga.dk/salg/info/187/41066/827DBFBA-881C-40C0-9CF9-0C5ABF1F2156,2665,47,0,,2,2,1966,0,532,,39,1,1,1280000,Alm. frit salg,,,10,2021
https://www.boliga.dk/salg/info/157/28952/5FDE2A45-0361-4F26-9B75-B954E82B10DA,2920,136,0,,5,1,1936,0,2205,,130,1,1,6000000,Alm. frit salg,,,9,2021
https://www.boliga.dk/salg/info/147/9917/BB31D159-01C9-4C11-9861-C21186F53892,2000,92,0,,2,2,1960,0,1406,,81,1,1,3000000,Alm. frit salg,,,9,2021
https://www.boliga.dk/salg/info/187/40973/2D337F13-5DBB-4FF2-A206-A8E8A30FEFBD,2665,86,0,,3,1,1966,0,857,,78,1,1,1985000,Alm. frit salg,,,9,2021
https://www.boliga.dk/salg/info/151/149369/FC0A90F9-7DFA-422F-A3A7-C281099941EE,2740,117,0,,3,1,2006,0,1801,,112,1,1,3500000,Alm. frit salg,,,9,2021
https://www.boliga.dk/salg/info/101/18459/5AF1A92B-DE8B-40E4-8FA5-2184B3658450,2300,139,0,,3,1,1962,0,2450,,133,2,1,7825000,Alm. frit salg,,,9,2021
https://www.boliga.dk/salg/info/269/10827/6DAE82F7-F404-4CDD-8EF0-61047288E57A,2680,100,0,,4,0,1972,0,1242,,96,1,1,1150000,Alm. frit salg,,,9,2021
https://www.boliga.dk/salg/info/101/812537/37457F89-B60B-4DEC-8892-DF6F621826D1,2500,73,0,,3,2,1959,0,1280,,70,1,1,3675000,Alm. frit salg,,,9,2021
https://www.boliga.dk/salg/info/151/2269/9197074E-1FD4-44AE-97D0-9CC6013C413F,2750,86,0,,4,1,1900,0,12949,,0,1,1,492714,Alm. frit salg,,,9,2021
https://www.boliga.dk/salg/info/173/183666/C6291257-AABE-4621-A4BC-9F4CB7CD8531,2800,84,0,,3,2,1987,0,2005,,84,1,1,6180000,Alm. frit salg,,,9,2021
https://www.boliga.dk/salg/info/101/5661/F0AF8FE3-140A-4347-895C-4FCAF81EED42,2450,242,0,,4,9,2008,0,5914,,229,2,2,16000000,Alm. frit salg,,,9,2021
https://www.boliga.dk/salg/info/101/587452/45FF9C64-D3A4-4CAE-B636-FD08B2CB5217,2300,50,0,,2,2,1902,0,626,,42,1,1,382500,Alm. frit salg,,,9,2021
https://www.boliga.dk/salg/info/101/369668/3B7E6878-1851-4B7D-9A10-0939824DE9A1,2100,85,0,,3,4,1900,0,1872,,77,1,1,5935000,Alm. frit salg,,,9,2021
https://www.boliga.dk/salg/info/230/4085/295168D6-05E1-4B8E-B7B3-4B192546D14F,2850,115,0,,4,4,1968,0,2177,,109,2,1,3900000,Alm. frit salg,,,9,2021
https://www.boliga.dk/salg/info/147/186231/B78C11DC-13BC-4FCF-A440-E793BAB678B0,2000,80,0,,3,3,1934,1976,1294,,75,1,1,3026000,Alm. frit salg,,,9,2021
https://www.boliga.dk/salg/info/155/44551/7358D9C9-846D-4F79-8BB9-1A805C12B8E5,2791,75,0,,3,1,1973,0,1493,,67,1,1,2975000,Alm. frit salg,,,9,2021
https://www.boliga.dk/salg/info/101/5610/91B4D1F7-E6DD-4E62-BCA9-9402D385A6F4,2300,106,0,,1,8,2008,0,2611,,84,1,1,5600000,Alm. frit salg,,,9,2021
https://www.boliga.dk/salg/info/101/159620/463ADC39-583A-4042-BF76-50863B1E0F1D,2700,69,0,,2,2,1962,0,982,,64,1,1,1750000,Alm. frit salg,,,9,2021
https://www.boliga.dk/salg/info/159/97986/3EB8584D-2C27-44D0-8DDA-935B0334FD20,2860,83,0,,3,1,1957,0,674,,86,1,1,2200000,Alm. frit salg,,,9,2021
https://www.boliga.dk/salg/info/157/179179/C6913D2F-6F9A-48B1-AD8F-7FB7CDDAED22,2820,63,0,,2,1,1958,0,886,,62,1,1,1200000,Alm. frit salg,,,9,2021
