url,post_nummer,boligtype,boligstorrelse,grundstorrelse,vaerelser,etage,byggeår,om_byggeår,skatter,boligareal_tinglyst,toiletter,badevaerelser,pris,handelstype,salgsmaned,salgsar
https://www.boliga.dk/salg/info/147/3226/0F2B05FF-636E-4DBE-9698-BF47F312F001,2000,,78,0.0,3,8,1944,0,1289,68,1,1,4700000,Alm. frit salg,10,2021
https://www.boliga.dk/salg/info/101/295923/717ED2DE-40B0-49A0-BDC0-12F0A590C1C7,2300,,60,0.0,3,4,1937,0,552,57,1,1,2950000,Alm. frit salg,10,2021
https://www.boliga.dk/salg/info/101/157652/A0318DFB-16BB-40A5-8C82-8D79AD6D7930,2400,,47,0.0,2,4,1932,0,646,42,1,1,2225000,Alm. frit salg,10,2021
https://www.boliga.dk/salg/info/101/194418/A816C87A-2259-4011-AABB-0AA9393C9C7C,2720,,67,0.0,2,4,1938,0,1212,60,1,1,2565000,Alm. frit salg,10,2021
https://www.boliga.dk/salg/info/165/45629/A04E2A67-43A0-42B5-8305-0B6C155DBEED,2620,,49,0.0,2,0,1972,1989,662,43,1,1,1298000,Alm. frit salg,10,2021
https://www.boliga.dk/salg/info/101/217540/B710C885-C77D-4F8C-8AD4-1EEA5E43622B,1302,,48,0.0,1,6,1957,0,0,42,1,1,2950000,Alm. frit salg,10,2021
https://www.boliga.dk/salg/info/183/47825/8F596627-19C6-4B01-8A69-9748FBD319F7,2635,,61,0.0,2,2,1977,0,643,57,1,1,1475000,Alm. frit salg,10,2021
https://www.boliga.dk/salg/info/101/893987/FD9072D4-3244-42E2-A5CD-EA0DB7D684E1,2100,,84,0.0,3,1,1979,0,1390,78,1,1,3850000,Alm. frit salg,10,2021
https://www.boliga.dk/salg/info/101/192300/988AB254-AD9C-4C49-99EA-0B1B68C6E3A3,1150,,87,0.0,2,5,1930,1987,2420,71,1,1,5800000,Alm. frit salg,10,2021
https://www.boliga.dk/salg/info/101/15836/4CAA7C3A-C1C4-4E08-A231-369CEDCCBBEC,2150,,104,0.0,3,1,2015,0,2743,90,1,1,5800000,Alm. frit salg,10,2021
https://www.boliga.dk/salg/info/101/38913/A0AF7A5D-2DEF-46CF-ACAC-93375759FF4D,2450,,60,0.0,2,3,0,0,619,50,1,1,3275000,Alm. frit salg,10,2021
https://www.boliga.dk/salg/info/157/196421/CF66C1C9-B296-4E44-930F-D45AD8D0EA43,2870,,61,0.0,3,1,1953,0,729,56,1,1,1970000,Alm. frit salg,10,2021
https://www.boliga.dk/salg/info/157/288113/7944CE49-D940-4BEF-B9F2-98371FA4B64F,2870,,77,0.0,3,2,1987,0,1221,71,1,1,2720000,Alm. frit salg,10,2021
https://www.boliga.dk/salg/info/169/121958/51808EA5-5B0F-4F94-858E-B1C25B45B20D,2630,,73,0.0,3,0,1973,0,794,70,1,1,937500,Alm. frit salg,10,2021
https://www.boliga.dk/salg/info/101/944450/B53C8DBC-FF26-41E8-9632-683B335A1877,2300,,108,0.0,3,2,2007,0,2369,83,1,1,3850000,Alm. frit salg,10,2021
