url,post_nummer,boligtype,boligstorrelse,grundstorrelse,vaerelser,etage,byggeår,om_byggeår,skatter,boligareal_tinglyst,toiletter,badevaerelser,pris,handelstype,salgsmaned,salgsar
https://www.boliga.dk/salg/info/147/214979/02033AC0-1F0B-4EB5-914A-F8A3A05BFDE0,"Amicisvej 23, 2. th 1852 Frederiksberg C",Ejerlejlighed,92,0,4,2,1892,1975,1582,85,1,1,5950000,Alm. frit salg,12,2020
https://www.boliga.dk/salg/info/101/710220/AB4E557F-FE8F-4835-BE1D-79DA6502B5B5,"Weidekampsgade 63, 5. 1 2300 København S",Ejerlejlighed,102,0,3,5,2006,0,2328,90,2,1,5295000,Alm. frit salg,12,2020
https://www.boliga.dk/salg/info/101/710718/8F6B14BB-9880-46BA-B26E-2871D7108D81,"Æbeløgade 46, 2. 2 2100 København Ø",Ejerlejlighed,51,0,2,2,1935,0,839,46,1,1,2300000,Alm. frit salg,12,2020
https://www.boliga.dk/salg/info/101/878848/0F4B79FD-0657-4704-9756-5E67FE1CC882,"Reykjaviksgade 1, 3. tv 2300 København S",Ejerlejlighed,121,0,4,3,1907,0,1828,108,1,1,6500000,Alm. frit salg,12,2020
https://www.boliga.dk/salg/info/101/362817/F6D8B0C7-B4EA-4A04-B6B8-A89963EFD494,"P.D. Løvs Allé 14, 1. tv 2200 København N",Ejerlejlighed,56,0,3,1,1906,2001,737,49,1,1,3025000,Alm. frit salg,12,2020
https://www.boliga.dk/salg/info/147/89139/6EBB0C16-432E-414B-8FE3-BD4106C4B0C6,"Nyelandsvej 3, 2. th 2000 Frederiksberg",Ejerlejlighed,86,0,4,2,1889,0,1395,78,1,1,5195000,Alm. frit salg,12,2020
https://www.boliga.dk/salg/info/101/5371/A9F6C018-12D8-4D87-95BC-1273AC632715,"A.C. Meyers Vænge 13E, 3. tv 2450 København SV",Ejerlejlighed,90,0,4,3,2008,0,1798,83,1,1,4275000,Alm. frit salg,12,2020
https://www.boliga.dk/salg/info/173/40830/097F050C-3DD3-4261-961A-7A2D15433D80,"Frederiksdalsvej 12B, 1. th 2830 Virum",Ejerlejlighed,58,0,2,1,1939, ,849,51, , ,1500000,Alm. frit salg,12,2020
https://www.boliga.dk/salg/info/147/212283/B7F52ED1-B141-4581-A7BB-DE35A5761468,"Lyøvej 14, 3. mf 2000 Frederiksberg",Ejerlejlighed,90,0,3,3,1979,0,1786,84,1,1,5140000,Alm. frit salg,12,2020
https://www.boliga.dk/salg/info/153/60886/2458A3EA-CA3B-4A12-BCEC-6491A6A6C9DA,"Gammel Køge Landevej 791A, 1. tv 2660 Brøndby Strand",Ejerlejlighed,74,0,3,1,1934,0,910,74,1,1,2175000,Alm. frit salg,12,2020
https://www.boliga.dk/salg/info/101/686400/6AE58359-488B-4FAB-8E62-58F23DEF4D4C,"Store Kongensgade 63A, 4. 3 1264 København K",Ejerlejlighed,139,0,4,4,1932,0,2666,131,1,1,8495000,Alm. frit salg,12,2020
https://www.boliga.dk/salg/info/157/217488/FF04A399-96F7-4F14-9AAD-329F2E0CCCBE,"Vangede Bygade 86, 1. th 2820 Gentofte",Ejerlejlighed,53,0,2,1,1940,0,663,48,1,1,1700000,Alm. frit salg,12,2020
https://www.boliga.dk/salg/info/101/237966/09F44EF1-72D7-42D4-A0D6-A6979F5EDAFC,"Hornemansgade 1A, 1. tv 2100 København Ø",Ejerlejlighed,110,0,4,1,1907,0,1629,103,1,1,4995000,Alm. frit salg,12,2020
https://www.boliga.dk/salg/info/101/270955/BC2D2A17-B28E-40A8-A6F2-C93B1BF0D878,"Jagtvej 57, 2. tv 2200 København N",Ejerlejlighed,98,0,4,2,1906,0,1217,87,1,1,5000000,Alm. frit salg,12,2020
https://www.boliga.dk/salg/info/101/19150/26119194-D80F-4D3F-BF62-296A4FDC3BCF,"Strandlodsvej 25C, 1. 2300 København S",Ejerlejlighed,120,0,5,1,2016,0,2704,101,1,1,5550000,Alm. frit salg,12,2020
https://www.boliga.dk/salg/info/147/174926/F0F64592-A99D-4A97-8F55-94628F4946E8,"Holger Danskes Vej 42, 5. 40 2000 Frederiksberg",Ejerlejlighed,74,0,2,5,1976,0,1376,62,1,1,3600000,Alm. frit salg,12,2020
